id,question,keywords,timestamp
unanswered_20250602160844,東京から日帰りで行ける花火大会どこ？アクセスどう行く？,"[""東京"", ""日帰り"", ""花火大会"", ""アクセス""]",2025-06-02T16:08:44.943695
unanswered_20250602160847,夏の日本で夜景や屋台巡り、どこがオススメ？,"[""夜景"", ""屋台"", ""夏"", ""日本"", ""オススメ""]",2025-06-02T16:08:47.649534
unanswered_20250602160849,初めての日本旅行、関東で効率よく回るならどのルート？,"[""日本旅行"", ""関東"", ""効率"", ""ルート"", ""観光""]",2025-06-02T16:08:49.418148
unanswered_20250602160851,浴衣レンタルして花火大会行くなら、どのプランがオススメ？費用は？,"[""浴衣レンタル"", ""花火大会"", ""プラン"", ""費用"", ""おすすめ""]",2025-06-02T16:08:51.029027
unanswered_20250602160853,子ども2人連れて行くなら、東京近郊のどこが家族向け？,"[""東京近郊"", ""家族向け"", ""子供"", ""子連れ"", ""遊び場"", ""スポット"", ""観光"", ""レジャー"", ""お出かけ""]",2025-06-02T16:08:53.384599
unanswered_20250602160855,6月〜8月に日本行くなら、どんな服装がベスト？,"[""日本"", ""服装"", ""6月"", ""7月"", ""8月"", ""夏""]",2025-06-02T16:08:55.171070
unanswered_20250602160856,インスタ映えする日本の花火スポット、どこがいい？,"[""インスタ映え"", ""花火"", ""スポット"", ""日本""]",2025-06-02T16:08:56.740499
unanswered_20250602160858,花火大会で写真撮るなら、どこから撮るといい？,"[""花火大会"", ""撮影場所"", ""写真""]",2025-06-02T16:08:58.395181
unanswered_20250602160900,旅行予算1000ドルで夏の日本、花火も見たいけどプランどう組む？,"[""日本"", ""旅行"", ""プラン"", ""夏"", ""花火"", ""予算"", ""1000ドル""]",2025-06-02T16:09:00.254423
unanswered_20250602160901,花火を見るとき、何を持っていけばいい？注意点も教えて！,"[""花火"", ""持ち物"", ""注意点""]",2025-06-02T16:09:01.867574
unanswered_20250602160903,夏限定ファッションイベント、いつどこでやってる？,"[""夏"", ""限定"", ""ファッションイベント"", ""いつ"", ""どこ""]",2025-06-02T16:09:03.723254
unanswered_20250602160905,東京で浴衣や和小物買うなら、どの店がいい？,"[""東京"", ""浴衣"", ""和小物"", ""店""]",2025-06-02T16:09:05.303338
unanswered_20250602160907,出張ついでに見れる夜の花火スポット、どこある？,"[""花火"", ""スポット"", ""夜"", ""出張ついで"", ""観光""]",2025-06-02T16:09:07.260861
unanswered_20250602160908,羽田か成田から日帰りで行ける花火大会、どれ？,"[""羽田"", ""成田"", ""日帰り"", ""花火大会""]",2025-06-02T16:09:08.804886
unanswered_20250602160910,夏休みに子ども連れて楽しめる東京近郊の安全な施設は？,"[""夏休み"", ""子供"", ""楽しめる"", ""東京近郊"", ""安全"", ""施設""]",2025-06-02T16:09:10.624529
unanswered_20250602160912,英語サポートしっかりある観光施設、どこ？,"[""観光施設"", ""英語サポート"", ""英語対応""]",2025-06-02T16:09:12.261811
unanswered_20250602160914,接待用に花火観るなら、どこ行けば席取れる？,"[""花火"", ""接待"", ""席"", ""予約"", ""観覧席""]",2025-06-02T16:09:14.211308
unanswered_20250602160915,花火大会で貸切屋形船使うなら、どのプランがある？,"[""花火大会"", ""貸切屋形船"", ""プラン""]",2025-06-02T16:09:15.987238
unanswered_20250602160917,関西の花火大会いつ？チケットどう買う？,"[""関西"", ""花火大会"", ""日程"", ""時期"", ""チケット"", ""購入方法""]",2025-06-02T16:09:17.807817
unanswered_20250602160919,関西の花火大会に合わせて観光するなら、どこ回ればいい？,"[""関西"", ""花火大会"", ""観光""]",2025-06-02T16:09:19.416509
